Policy_Id,Policy_Year,Make,Body_Style,Model_Year,Model_Color,Miles_Driven,Driver_Hair_Color,Years_Customer,Accident_Reported
1,2022,Honda,sedan,2010,Red,15000,Brown,5,1
2,2021,Nissan,truck,2005,White,23000,Black,3,1
3,2020,Ford,suv,2015,Blue,8000,Brown,10,0
4,2019,Subaru,sedan,2020,Red,12000,Black,2,0
5,2022,Honda,convertible,2007,White,5000,Brown,15,0
6,2021,Nissan,sedan,2011,Blue,19000,Black,4,0
7,2020,Ford,truck,2018,Red,25000,Brown,7,0
8,2019,Subaru,suv,2004,White,7000,Black,1,1
9,2022,Honda,truck,2003,Blue,21000,Brown,9,1
10,2021,Nissan,convertible,2019,Red,3000,Black,12,0
11,2020,Ford,sedan,2010,White,11000,Brown,6,1
12,2019,Subaru,truck,2022,Blue,24000,Black,5,1
13,2022,Honda,suv,2008,Red,9400,Brown,8,0
14,2021,Nissan,sedan,2000,White,15000,Black,13,0
15,2020,Ford,convertible,2021,Blue,18000,Brown,11,0
16,2019,Subaru,truck,2012,Red,23000,Black,2,0
17,2022,Honda,suv,2016,White,7500,Brown,19,0
18,2021,Nissan,sedan,2013,Blue,12000,Black,3,1
19,2020,Ford,truck,2017,Red,22000,Brown,16,1
20,2019,Subaru,suv,2023,White,6000,Black,7,0
